age,word
22.5,hyena
22.5,running
22.5,potty
22.5,penis
22.5,stairs
22.5,oatmeal
22.5,pepper (vegetable)
22.5,animal
22.5,art
22.5,mine
22.5,lip
22.5,bless you
22.5,snake
22.5,zuchinni
22.5,woof
22.5,pocket
22.5,meow
22.5,oink
22.5,roar
22.5,moo
22.5,castle
22.5,crab
22.5,star
22.5,alright
22.5,snail
22.5,(guitar) pick
22.5,phone
22.5,swim
22.5,white
22.5,coaster
22.5,[gorilla sound]
22.5,neigh
22.5,baa
22.5,button
22.5,nurse
22.5,sun
22.5,panda
22.5,change
22.5,cooking
22.5,belly button
22.5,polar bear
22.5,see
22.5,leopard
22.5,goat
22.5,sound
22.5,soft
22.5,cry
22.5,floor
