age,word
23.5,singing
23.5,that one
23.5,over there
23.5,this one
23.5,wipe
23.5,crib
23.5,dolphin
23.5,letter
23.5,number
23.5,goes
23.5,hold
23.5,clock
23.5,dark
23.5,rhino
23.5,cap
23.5,everybody
23.5,gone
23.5,garbage
23.5,upside down
23.5,knife
23.5,please
23.5,market
23.5,castle
23.5,wiggle
23.5,loud
23.5,pajamas
23.5,stove
23.5,happy
23.5,teacher
23.5,show
23.5,toast
23.5,upstairs
23.5,plum
23.5,tiger
23.5,dishes
23.5,rooster
23.5,sky
23.5,driving
23.5,found it
23.5,moon
23.5,pumpkin
23.5,playground
23.5,push
23.5,camel
23.5,napkin
23.5,crayon
23.5,rocket
23.5,dry
